DeltaTime,Light,RaiseTemp,LowerTemp,LowerHumid,RaiseSMoist,LowerSMoist,Fan,LED,Wpump,PrevLight,PrevTemp,PrevHumid,PrevSMoist,CurLight,CurTemp,CurHumid,CurSMoist,CurUnixTime,
140.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,92.0,549.0,946749793.75,
150.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,92.0,549.0,946749803.75,
160.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,91.0,549.0,946749813.75,
170.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,91.0,549.0,946749823.75,
180.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,91.0,549.0,946749833.75,
190.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,91.0,549.0,946749843.75,
200.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,90.0,549.0,946749853.75,
210.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,90.0,549.0,946749863.75,
220.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,90.0,549.0,946749873.75,
230.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,89.0,549.0,946749883.75,
240.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,89.0,549.0,946749893.75,
250.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,89.0,549.0,946749903.75,
260.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,88.0,549.0,946749913.75,
270.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,88.0,549.0,946749923.75,
280.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,88.0,549.0,946749933.75,
290.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,88.0,549.0,946749943.75,
300.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,87.0,549.0,946749953.75,
310.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,87.0,549.0,946749963.75,
320.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,87.0,549.0,946749973.75,
330.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,87.0,549.0,946749983.75,
340.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,87.0,549.0,946749993.75,
350.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,86.0,549.0,946750003.75,
360.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,86.0,549.0,946750013.75,
370.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,86.0,549.0,946750023.75,
380.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,86.0,549.0,946750033.75,
390.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,85.0,549.0,946750043.75,
400.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,85.0,549.0,946750053.75,
410.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,85.0,549.0,946750063.75,
420.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,85.0,549.0,946750073.75,
430.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,85.0,549.0,946750083.75,
440.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,85.0,549.0,946750093.75,
450.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,84.0,549.0,946750103.75,
460.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,84.0,549.0,946750113.75,
470.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,84.0,549.0,946750123.75,
