DeltaTime,Light,RaiseTemp,LowerTemp,LowerHumid,RaiseSMoist,LowerSMoist,Fan,LED,Wpump,PrevLight,PrevTemp,PrevHumid,PrevSMoist,CurLight,CurTemp,CurHumid,CurSMoist,CurUnixTime,
430.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946750051.25,
440.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946750061.25,
450.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946750071.25,
460.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946750081.25,
470.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750091.25,
480.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750101.25,
490.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750111.25,
500.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750121.25,
510.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750131.25,
520.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750141.25,
530.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750151.25,
540.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750161.25,
550.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750171.25,
560.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750181.25,
570.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750191.25,
