DeltaTime,Light,RaiseTemp,LowerTemp,LowerHumid,RaiseSMoist,LowerSMoist,Fan,LED,Wpump,PrevLight,PrevTemp,PrevHumid,PrevSMoist,CurLight,CurTemp,CurHumid,CurSMoist,CurUnixTime,
210.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751618.75,
220.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751628.75,
230.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751638.75,
240.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751648.75,
250.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751658.75,
260.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751668.75,
270.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751678.75,
280.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751688.75,
290.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751698.75,
300.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751708.75,
310.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751718.75,
320.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751728.75,
330.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751738.75,
340.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751748.75,
350.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751758.75,
360.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751768.75,
