None, unix_time: 946704975.0, midnight_time: 2175.0, light: 0.0, temp: 20.0, humid: 84.0, weight: 774.79052734375, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [84, 84], weight_raw: [697.3114624023438, 852.2695922851562], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946705075.0, midnight_time: 2275.0, light: 0.0, temp: 20.0, humid: 85.0, weight: 774.7862243652344, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [85, 85], weight_raw: [697.3076171875, 852.2648315429688], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946705175.0, midnight_time: 2375.0, light: 0.0, temp: 20.0, humid: 85.0, weight: 774.7821960449219, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [85, 85], weight_raw: [697.303955078125, 852.2604370117188], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946705275.0, midnight_time: 2475.0, light: 0.0, temp: 20.0, humid: 86.0, weight: 774.7783813476562, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [86, 86], weight_raw: [697.300537109375, 852.2562255859375], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946705375.0, midnight_time: 2575.0, light: 0.0, temp: 20.0, humid: 87.0, weight: 774.7739868164062, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [87, 87], weight_raw: [697.2965698242188, 852.2514038085938], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946705475.0, midnight_time: 2675.0, light: 0.0, temp: 20.0, humid: 87.0, weight: 774.7706909179688, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [87, 87], weight_raw: [697.2936401367188, 852.2477416992188], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946705575.0, midnight_time: 2775.0, light: 0.0, temp: 20.0, humid: 88.0, weight: 774.7676086425781, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [88, 88], weight_raw: [697.2908325195312, 852.244384765625], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946705675.0, midnight_time: 2875.0, light: 0.0, temp: 20.0, humid: 88.0, weight: 774.7654113769531, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [88, 88], weight_raw: [697.2888793945312, 852.241943359375], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946705775.0, midnight_time: 2975.0, light: 0.0, temp: 20.0, humid: 88.0, weight: 774.7626342773438, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [88, 88], weight_raw: [697.286376953125, 852.2388916015625], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946705875.0, midnight_time: 3075.0, light: 0.0, temp: 20.0, humid: 89.0, weight: 774.760009765625, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [89, 89], weight_raw: [697.2839965820312, 852.2360229492188], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
